gene_name	Role	MM.driver	n_syn	n_mis	n_non	n_spl	n_ind	qglobal_cv	Frequency	DNDS	DNDS.restr	MUTSIG	ONCODRIVER	FISHHOOK	n.CallBy	CallBy	Tumor_Type	Role_in_Cancer
WBP1	NA	0	2	0	0	0	5	0.084860478	0.004302397	1	0	0	0	0	1	DNDS||||	NA	NA
WBP4	NA	0	1	4	0	2	10	9.81e-05	0.010448679	1	0	0	0	0	1	DNDS||||	NA	NA
WDR45	NA	0	0	4	1	1	3	0.069914347	0.005531653	1	0	0	0	0	1	DNDS||||	NA	NA
WFDC12	NA	0	NA	NA	NA	NA	NA	NA	0.002458513	0	0	1	0	0	1	||MUTS||	NA	NA
XBP1	Oncogene	MM	4	14	0	0	3	0.084759307	0.012907191	1	0	0	1	1	3	DNDS|||ONCO|FISH	NA	NA
YBEY	NA	0	0	2	0	0	4	0.041145732	0.003687769	1	0	0	0	0	1	DNDS||||	NA	NA
ZEB1	NA	0	0	15	2	0	4	0.06242939	0.012907191	0	1	0	0	0	1	|DNDr|||	CCRCC, melanoma	oncogene
ZFP36L1	Unknown	MM	3	7	0	5	1	0.010391504	0.00983405	1	1	0	0	0	2	DNDS|DNDr|||	NA	NA
ZHX1-C8ORF76	NA	0	NA	NA	NA	NA	NA	NA	0.002458513	0	0	0	1	0	1	|||ONCO|	NA	NA
ZIC4	NA	0	NA	NA	NA	NA	NA	NA	0.012292563	0	0	0	1	0	1	|||ONCO|	NA	NA
ZNF292	TSG	MM	2	21	14	1	6	7.32e-07	0.027043639	1	1	0	1	0	3	DNDS|DNDr||ONCO|	NA	NA
